Sol;6;21;21;21;21;2;0;0
Plafond;6;21;21;21;21;1;0;0
Sol;6;21;21;21;21;2;0;0
Sol;5;17;17;17;17;2;0;0
Plafond;6;21;21;21;21;1;0;0
Plafond;5;17;17;17;17;1;0;0
Sol;6;21;21;21;21;2;0;0
Sol;5;17;17;17;17;2;0;0
Sol;4;13;13;13;13;2;0;0
Plafond;6;21;21;21;21;1;0;0
Plafond;5;17;17;17;17;1;0;0
Plafond;4;13;13;13;13;1;0;0
Sol;6;21;21;21;21;2;0;0
Sol;5;17;17;17;17;2;0;0
Sol;4;13;13;13;13;2;0;0
Sol;3;9;9;9;9;2;0;0
Plafond;6;21;21;21;21;1;0;0
Plafond;5;17;17;17;17;1;0;0
Plafond;4;13;13;13;13;1;0;0
Plafond;3;9;9;9;9;1;0;0
Sol;6;21;21;21;21;2;0;0
Sol;5;17;17;17;17;2;0;0
Sol;4;13;13;13;13;2;0;0
Sol;3;9;9;9;9;2;0;0
Sol;2;5;5;5;5;2;0;0
Plafond;6;21;21;21;21;1;0;0
Plafond;5;17;17;17;17;1;0;0
Plafond;4;13;13;13;13;1;0;0
Plafond;3;9;9;9;9;1;0;0
Plafond;2;5;5;5;5;1;0;0
Sol;6;21;21;21;21;2;0;0
Sol;5;17;17;17;17;2;0;0
Sol;4;13;13;13;13;2;0;0
Sol;3;9;9;9;9;2;0;0
Sol;2;5;5;5;5;2;0;0
Sol;1;1;1;1;1;2;0;0
Plafond;6;21;21;21;21;1;0;0
Plafond;5;17;17;17;17;1;0;0
Plafond;4;13;13;13;13;1;0;0
Plafond;3;9;9;9;9;1;0;0
Plafond;2;5;5;5;5;1;0;0
Plafond;1;1;1;1;1;1;0;0
Piece;6;21;22;23;24;6;6;0
Piece;5;17;18;19;20;5;5;0
Piece;4;13;14;15;16;4;4;0
Piece;3;9;10;11;12;3;3;0
Piece;2;5;6;7;8;2;2;0
Piece;1;1;2;3;4;1;1;0
Niveau;0
Sol;4;43;43;43;43;2;0;1
Plafond;4;43;43;43;43;1;0;1
Sol;4;43;43;43;43;2;0;1
Sol;3;36;36;36;36;2;0;1
Plafond;4;43;43;43;43;1;0;1
Plafond;3;36;36;36;36;1;0;1
Sol;4;43;43;43;43;2;0;1
Sol;3;36;36;36;36;2;0;1
Sol;2;32;32;32;32;2;0;1
Plafond;4;43;43;43;43;1;0;1
Plafond;3;36;36;36;36;1;0;1
Plafond;2;32;32;32;32;1;0;1
Sol;4;43;43;43;43;2;0;1
Sol;3;36;36;36;36;2;0;1
Sol;2;32;32;32;32;2;0;1
Sol;1;28;28;28;28;2;0;1
Plafond;4;43;43;43;43;1;0;1
Plafond;3;36;36;36;36;1;0;1
Plafond;2;32;32;32;32;1;0;1
Plafond;1;28;28;28;28;1;0;1
Piece;4;37;38;39;40;4;4;1
Piece;3;33;34;35;36;3;3;1
Piece;2;29;30;31;32;2;2;1
Piece;1;25;26;27;28;1;1;1
Niveau;1
